codigoinstitucion,nombreinstitucion,codigodepartinstitucion,nombredepartinstitucion,codigomunicipioinstitucion,nombremunicipioinstitucion,codigoorigeninstitucional,nombreorigeninstitucional,codigocaracteracademico,nombrecaracteracademico,codigoprograma,nombreprograma,codigodepartprograma,nombredepartprograma,codigomunicipioprograma,nombremunicipioprograma,codigoestadoprograma,nombreestadoprograma,cantidadcreditos,fechaacreditacion,codigoareaconocimiento,nombreareaconocimiento,codigometodologia,nombremetodologia,codigonbc,nombrenbc,codigonivelformacion,nombrenivelformacion,codigonivelacademico,nombrenivelacademico,codigoperiodicidad,nombreperiodicidad,cantidadperiodos,numeroresolucionacreditacion,codigotipoacreditacion,nombretipoacreditacion,aniosacreditados,nombretituloobtenido,fechacreacion,genero,departamento_origen,estrato_socioeconomico,tipo_colegio,programa_academico,edad,puntaje_saber11,promedio_acumulado,materias_reprobadas,ingreso_familiar,desertor_predicho,probabilidad_desercion
1201,UNIVERSIDAD DE ANTIOQUIA,5,Antioquia,5001,Medellín,1,Oficial,4,Universidad,5,Antioquia,5,Antioquia,5001,Medellín,1,Activo,165,NA,9,Matemáticas y ciencias naturales,1,Presencial,939,Química y afines,6,Universitaria,1,Pregrado,2,Semestral,10,NA,3,Acreditación de alta calidad,8,QUIMICO FARMACEUTICO,12/03/2018,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1103,UNIVERSIDAD NACIONAL DE COLOMBIA,17,Caldas,17001,Manizales,1,Oficial,4,Universidad,17,Caldas,17,Caldas,17001,Manizales,1,Activo,135,5/04/2013,8,Ingeniería arquitectura urbanismo y afines,1,Presencial,832,Ingeniería química y afines,3,Doctorado,2,Posgrado,2,Semestral,8,3244,2,Registro calificado,20,DOCTOR EN INGENIERÍA,29/06/2012,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1101,UNIVERSIDAD NACIONAL DE COLOMBIA,11,Bogotá D.C.,11001,Bogotá D.C.,1,Oficial,4,Universidad,11,Bogotá D.C.,11,Bogotá D.C.,11001,Bogotá D.C.,1,Activo,164,27/09/2017,6,Economía administración contaduría y afines,1,Presencial,69,Administración,6,Universitaria,1,Pregrado,2,Semestral,10,19584,3,Acreditación de alta calidad,6,ADMINISTRADOR(A) DE EMPRESAS,27/09/2017,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1101,UNIVERSIDAD NACIONAL DE COLOMBIA,11,Bogotá D.C.,11001,Bogotá D.C.,1,Oficial,4,Universidad,11,Bogotá D.C.,11,Bogotá D.C.,11001,Bogotá D.C.,1,Activo,122,27/09/2017,5,Ciencias sociales y humanas,1,Presencial,553,Antropología y  artes liberales,6,Universitaria,1,Pregrado,2,Semestral,9,19587,3,Acreditación de alta calidad,8,ANTROPOLOGO(A),27/09/2017,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1101,UNIVERSIDAD NACIONAL DE COLOMBIA,11,Bogotá D.C.,11001,Bogotá D.C.,1,Oficial,4,Universidad,11,Bogotá D.C.,11,Bogotá D.C.,11001,Bogotá D.C.,1,Activo,179,16/06/2016,8,Ingeniería arquitectura urbanismo y afines,1,Presencial,818,Arquitectura,6,Universitaria,1,Pregrado,2,Semestral,10,11945,3,Acreditación de alta calidad,6,ARQUITECTO(A),16/06/2016,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1103,UNIVERSIDAD NACIONAL DE COLOMBIA,17,Caldas,17001,Manizales,1,Oficial,4,Universidad,17,Caldas,17,Caldas,17001,Manizales,1,Activo,32,11/11/2020,9,Matemáticas y ciencias naturales,1,Presencial,937,Matemáticas estadística y afines,1,Especialización universitaria,2,Posgrado,2,Semestral,2,21314,4,n/a,NA,ESPECIALISTA EN ACTUARÍA Y FINANZAS,25/05/2018,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1201,UNIVERSIDAD DE ANTIOQUIA,5,Antioquia,5001,Medellín,1,Oficial,4,Universidad,5,Antioquia,5,Antioquia,5001,Medellín,1,Activo,141,NA,5,Ciencias sociales y humanas,1,Presencial,569,Sociología trabajo social y afines,6,Universitaria,1,Pregrado,2,Semestral,8,NA,3,Acreditación de alta calidad,6,SOCIOLOGO,11/09/2019,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1201,UNIVERSIDAD DE ANTIOQUIA,5,Antioquia,5001,Medellín,1,Oficial,4,Universidad,5,Antioquia,5,Antioquia,5154,Caucasia,2,Inactivo,160,NA,5,Ciencias sociales y humanas,1,Presencial,569,Sociología trabajo social y afines,6,Universitaria,1,Pregrado,2,Semestral,8,NA,4,n/a,NA,SOCIOLOGO (A),NA,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1103,UNIVERSIDAD NACIONAL DE COLOMBIA,17,Caldas,17001,Manizales,1,Oficial,4,Universidad,17,Caldas,17,Caldas,17001,Manizales,1,Activo,32,11/09/2019,6,Economía administración contaduría y afines,1,Presencial,69,Administración,1,Especialización universitaria,2,Posgrado,2,Semestral,2,9699,2,Registro calificado,7,ESPECIALISTA EN ALTA GERENCIA,10/11/2014,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1201,UNIVERSIDAD DE ANTIOQUIA,5,Antioquia,5001,Medellín,1,Oficial,4,Universidad,5,Antioquia,5,Antioquia,5045,Apartadó,1,Activo,160,NA,5,Ciencias sociales y humanas,1,Presencial,569,Sociología trabajo social y afines,6,Universitaria,1,Pregrado,2,Semestral,8,NA,2,Registro calificado,7,SOCIÓLOGO (A),12/05/2015,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1201,UNIVERSIDAD DE ANTIOQUIA,5,Antioquia,5001,Medellín,1,Oficial,4,Universidad,5,Antioquia,5,Antioquia,5031,Amalfi,1,Activo,57,NA,1,Agronomía veterinaria y afines,1,Presencial,11,Agronomía,4,Formación técnica profesional,1,Pregrado,2,Semestral,4,NA,2,Registro calificado,7,TÉCNICO PROFESIONAL AGROPECUARIO,2/09/2014,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1114,UNIVERSIDAD SURCOLOMBIANA,41,Huila,41001,Neiva,1,Oficial,4,Universidad,41,Huila,41,Huila,41001,Neiva,2,Inactivo,104,12/03/2018,8,Ingeniería arquitectura urbanismo y afines,1,Presencial,825,Ingeniería civil y afines,5,Tecnológica,1,Pregrado,2,Semestral,6,3994,2,Registro calificado,7,TECNÓLOGO EN OBRAS CIVILES,20/03/2009,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1114,UNIVERSIDAD SURCOLOMBIANA,41,Huila,41001,Neiva,1,Oficial,4,Universidad,41,Huila,41,Huila,41551,Pitalito,2,Inactivo,104,12/04/2018,8,Ingeniería arquitectura urbanismo y afines,1,Presencial,825,Ingeniería civil y afines,5,Tecnológica,1,Pregrado,2,Semestral,6,6380,4,n/a,NA,TECNÓLOGO EN OBRAS CIVILES,NA,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1114,UNIVERSIDAD SURCOLOMBIANA,41,Huila,41001,Neiva,1,Oficial,4,Universidad,41,Huila,41,Huila,41396,La Plata,2,Inactivo,104,21/02/2018,8,Ingeniería arquitectura urbanismo y afines,1,Presencial,825,Ingeniería civil y afines,5,Tecnológica,1,Pregrado,2,Semestral,6,2901,4,n/a,NA,TECNÓLOGO EN OBRAS CIVILES,NA,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1114,UNIVERSIDAD SURCOLOMBIANA,41,Huila,41001,Neiva,1,Oficial,4,Universidad,41,Huila,41,Huila,41551,Pitalito,2,Inactivo,NA,23/12/2016,1,Agronomía veterinaria y afines,1,Presencial,12,Zootecnia,6,Universitaria,1,Pregrado,1,Anual,5,23774,3,Acreditación previa,1,ZOOTECNISTA,17/05/2004,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1115,UNIVERSIDAD DE LA AMAZONIA,18,Caquetá,18001,Florencia,1,Oficial,4,Universidad,18,Caquetá,18,Caquetá,18001,Florencia,2,Inactivo,152,30/09/2016,6,Economía administración contaduría y afines,2,A distancia,69,Administración,6,Universitaria,1,Pregrado,2,Semestral,10,19145,2,Registro calificado,7,ADMINISTRADOR,1/10/2003,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1115,UNIVERSIDAD DE LA AMAZONIA,18,Caquetá,18001,Florencia,1,Oficial,4,Universidad,18,Caquetá,18,Caquetá,18001,Florencia,1,Activo,160,18/04/2018,6,Economía administración contaduría y afines,1,Presencial,69,Administración,6,Universitaria,1,Pregrado,2,Semestral,10,6540,2,Registro calificado,7,ADMINISTRADOR DE EMPRESAS,21/02/2020,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1115,UNIVERSIDAD DE LA AMAZONIA,18,Caquetá,18001,Florencia,1,Oficial,4,Universidad,91,Amazonas,91,Amazonas,91001,Leticia,2,Inactivo,NA,24/10/2018,6,Economía administración contaduría y afines,1,Presencial,69,Administración,6,Universitaria,1,Pregrado,2,Semestral,10,17233,4,n/a,NA,ADMINISTRADOR DE EMPRESAS,NA,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1205,UNIVERSIDAD DE CARTAGENA,13,Bolívar,13001,Cartagena de Indias,1,Oficial,4,Universidad,13,Bolívar,13,Bolívar,13001,Cartagena de Indias,1,Activo,48,NA,4,Ciencias de la salud,2,A distancia,441,Enfermería,2,Maestría,2,Posgrado,2,Semestral,4,NA,2,Registro calificado,7,MAGISTER EN ENFERMERÍA,21/01/2019,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1115,UNIVERSIDAD DE LA AMAZONIA,18,Caquetá,18001,Florencia,1,Oficial,4,Universidad,18,Caquetá,18,Caquetá,18753,San Vicente del Caguán,2,Inactivo,NA,21/03/2018,6,Economía administración contaduría y afines,1,Presencial,69,Administración,6,Universitaria,1,Pregrado,2,Semestral,10,4602,3,Acreditación previa,2,ADMINISTRADOR DE EMPRESAS,16/11/2004,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1115,UNIVERSIDAD DE LA AMAZONIA,18,Caquetá,18001,Florencia,1,Oficial,4,Universidad,91,Amazonas,91,Amazonas,91001,Leticia,2,Inactivo,NA,5/03/2020,6,Economía administración contaduría y afines,1,Presencial,69,Administración,6,Universitaria,1,Pregrado,2,Semestral,10,3261,4,n/a,NA,ADMINISTRADOR DE EMPRESAS,NA,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1115,UNIVERSIDAD DE LA AMAZONIA,18,Caquetá,18001,Florencia,1,Oficial,4,Universidad,86,Putumayo,86,Putumayo,86001,Mocoa,2,Inactivo,NA,24/07/2019,6,Economía administración contaduría y afines,1,Presencial,69,Administración,6,Universitaria,1,Pregrado,2,Semestral,10,7579,4,n/a,NA,ADMINISTRADOR DE EMPRESAS,NA,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1205,UNIVERSIDAD DE CARTAGENA,13,Bolívar,13001,Cartagena de Indias,1,Oficial,4,Universidad,13,Bolívar,13,Bolívar,13001,Cartagena de Indias,2,Inactivo,48,NA,4,Ciencias de la salud,2,A distancia,441,Enfermería,2,Maestría,2,Posgrado,2,Semestral,4,NA,2,Registro calificado,7,MAGISTER EN ENFERMERÍA,21/01/2019,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1115,UNIVERSIDAD DE LA AMAZONIA,18,Caquetá,18001,Florencia,1,Oficial,4,Universidad,18,Caquetá,18,Caquetá,18001,Florencia,1,Activo,149,12/06/2019,6,Economía administración contaduría y afines,2,A distancia,69,Administración,6,Universitaria,1,Pregrado,2,Semestral,10,6091,2,Registro calificado,7,ADMINISTRADOR FINANCIERO,7/11/2019,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1205,UNIVERSIDAD DE CARTAGENA,13,Bolívar,13001,Cartagena de Indias,1,Oficial,4,Universidad,13,Bolívar,13,Bolívar,13001,Cartagena de Indias,1,Activo,48,NA,4,Ciencias de la salud,1,Presencial,441,Enfermería,2,Maestría,2,Posgrado,2,Semestral,4,NA,2,Registro calificado,7,MAGISTER EN ENFERMERÍA EN SALUD MENTAL,15/03/2017,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1115,UNIVERSIDAD DE LA AMAZONIA,18,Caquetá,18001,Florencia,1,Oficial,4,Universidad,18,Caquetá,18,Caquetá,18001,Florencia,1,Activo,150,3/12/2018,9,Matemáticas y ciencias naturales,1,Presencial,934,Biología microbiología y afines,6,Universitaria,1,Pregrado,2,Semestral,9,18610,3,Acreditación de alta calidad,4,BIOLOGO,1/03/2021,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1734,UNIVERSIDAD DE BOYACA UNIBOYACA,15,Boyacá,15001,Tunja,2,Privado,4,Universidad,15,Boyacá,15,Boyacá,15001,Tunja,1,Activo,60,NA,6,Economía administración contaduría y afines,1,Presencial,69,Administración,2,Maestría,2,Posgrado,2,Semestral,4,NA,2,Registro calificado,7,MAGISTER EN ADMINISTRACIÓN,18/05/2016,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1734,UNIVERSIDAD DE BOYACA UNIBOYACA,15,Boyacá,15001,Tunja,2,Privado,4,Universidad,15,Boyacá,15,Boyacá,15001,Tunja,1,Activo,56,NA,5,Ciencias sociales y humanas,1,Presencial,559,Derecho y afines,2,Maestría,2,Posgrado,2,Semestral,4,NA,2,Registro calificado,7,MAGISTER EN DERECHO PROCESAL Y PROBATORIO,18/06/2018,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1734,UNIVERSIDAD DE BOYACA UNIBOYACA,15,Boyacá,15001,Tunja,2,Privado,4,Universidad,15,Boyacá,15,Boyacá,15001,Tunja,1,Activo,60,NA,6,Economía administración contaduría y afines,1,Presencial,69,Administración,2,Maestría,2,Posgrado,2,Semestral,4,NA,2,Registro calificado,7,MAGISTER EN GERENCIA DE PROYECTOS,24/05/2018,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1813,UNIVERSIDAD DE LOS ANDES,11,Bogotá D.C.,11001,Bogotá D.C.,2,Privado,4,Universidad,11,Bogotá D.C.,11,Bogotá D.C.,11001,Bogotá D.C.,2,Inactivo,NA,NA,6,Economía administración contaduría y afines,1,Presencial,69,Administración,2,Maestría,2,Posgrado,1,Anual,2,NA,4,n/a,NA,MAGISTER EN DIRECCION UNIVERSITARIA,NA,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
1115,UNIVERSIDAD DE LA AMAZONIA,18,Caquetá,18001,Florencia,1,Oficial,4,Universidad,18,Caquetá,18,Caquetá,18001,Florencia,1,Activo,168,17/02/2015,6,Economía administración contaduría y afines,1,Presencial,612,Contaduría pública,6,Universitaria,1,Pregrado,2,Semestral,10,2039,2,Registro calificado,7,CONTADOR PUBLICO,27/12/2019,DESCONOCIDO,DESCONOCIDO,0,DESCONOCIDO,DESCONOCIDO,0,0,0,0,0,0,0.3783747742050113
