CODIGO_IES,AÑO,SEMESTRE,AUXILIAR,TECNICO,PROFESIONAL,DIRECTIVO,TOTAL
1825,2018,1,95,25,70,5,195
1825,2018,2,97,28,84,5,214
1827,2018,1,35,77,357,21,490
1827,2018,2,18,42,139,10,209
1828,2018,1,333,138,214,119,804
1828,2018,2,333,138,214,119,804
1830,2018,1,42,404,239,16,701
1830,2018,2,50,381,239,23,693
1831,2018,1,76,148,138,53,415
1831,2018,2,88,152,140,53,433
1833,2018,1,196,7,109,10,322
1833,2018,2,202,5,112,9,328
1834,2018,1,140,79,65,22,306
1834,2018,2,115,78,68,34,295
1835,2018,1,75,119,114,46,354
1835,2018,2,73,114,119,41,347
2110,2018,1,18,0,9,8,35
2110,2018,2,18,0,9,9,36
2114,2018,1,13,12,39,13,77
2114,2018,2,16,16,45,14,91
2207,2018,1,16,2,11,14,43
2207,2018,2,16,2,11,14,43
2208,2018,1,15,3,12,4,34
2208,2018,2,15,3,12,4,34
2211,2018,1,15,2,6,21,44
2211,2018,2,11,2,8,21,42
2301,2018,1,55,10,20,20,105
2301,2018,2,54,10,21,18,103
2302,2018,1,22,15,32,29,98
2302,2018,2,23,17,33,34,107
2701,2018,1,101,13,45,32,191
2701,2018,2,101,13,45,32,191
2702,2018,1,90,8,87,37,222
2702,2018,2,100,0,88,40,228
2707,2018,1,30,47,123,24,224
2707,2018,2,30,46,123,24,223
2708,2018,1,140,131,121,17,409
2708,2018,2,140,136,118,17,411
2709,2018,1,272,89,172,31,564
2709,2018,2,199,160,157,41,557
2710,2018,1,8,53,27,27,115
2710,2018,2,8,53,27,27,115
2713,2018,1,80,41,111,47,279
2713,2018,2,80,41,111,47,279
2719,2018,1,113,41,76,44,274
2719,2018,2,118,41,80,45,284
2720,2018,1,82,32,43,3,160
2720,2018,2,94,34,39,3,170
2721,2018,1,19,30,43,32,124
2723,2018,1,128,4,96,44,272
2723,2018,2,121,4,93,54,272
2724,2018,1,95,34,39,30,198
2724,2018,2,95,34,41,30,200
2725,2018,1,93,143,418,51,705
2725,2018,2,93,143,418,51,705
2727,2018,1,87,0,125,17,229
2727,2018,2,87,0,125,17,229
2728,2018,1,176,127,254,132,689
2730,2018,1,7,27,21,6,61
2730,2018,2,7,27,21,6,61
2732,2018,1,32,22,80,10,144
2732,2018,2,32,22,80,10,144
2733,2018,1,0,0,59,2,61
2736,2018,1,14,7,11,4,36
2736,2018,2,13,7,10,4,34
2737,2018,1,176,127,254,132,689
2737,2018,2,47,33,48,26,154
2738,2018,1,19,12,81,6,118
2738,2018,2,18,12,88,6,124
2739,2018,1,24,14,9,9,56
2739,2018,2,24,14,9,9,56
2740,2018,1,1,0,1,8,10
2740,2018,2,1,0,1,8,10
2741,2018,1,2,4,10,5,21
2741,2018,2,2,4,7,3,16
2743,2018,1,54,11,48,7,120
2743,2018,2,54,11,48,7,120
2744,2018,1,115,40,44,9,208
2744,2018,2,112,31,38,8,189
2745,2018,1,33,47,96,7,183
2746,2018,1,28,7,234,8,277
2746,2018,2,28,7,234,8,277
2749,2018,1,28,9,42,7,86
2749,2018,2,29,12,35,9,85
2805,2018,1,172,66,215,36,489
2805,2018,2,175,50,218,39,482
2810,2018,1,224,97,146,50,517
2810,2018,2,294,102,63,49,508
2811,2018,1,22,138,104,32,296
2811,2018,2,21,44,111,33,209
2812,2018,1,201,2,156,13,372
2812,2018,2,209,3,166,15,393
2813,2018,1,66,22,36,17,141
2813,2018,2,72,22,38,17,149
2818,2018,1,13,28,29,22,92
2818,2018,2,43,0,12,4,59
2820,2018,1,27,0,90,5,122
2820,2018,2,79,0,135,7,221
2822,2018,1,0,0,29,4,33
2822,2018,2,0,0,29,4,33
2827,2018,1,60,26,101,9,196
2827,2018,2,59,26,103,9,197
2828,2018,1,31,45,50,15,141
2828,2018,2,31,45,50,15,141
2829,2018,1,644,172,1759,6,2581
2829,2018,2,643,157,1594,181,2575
2830,2018,1,49,0,73,30,152
2830,2018,2,36,26,78,33,173
2831,2018,1,61,0,18,38,117
2831,2018,2,61,0,35,28,124
2832,2018,1,18,2,19,3,42
2832,2018,2,18,2,19,3,42
2833,2018,1,143,19,80,34,276
2833,2018,2,120,20,75,33,248
2834,2018,2,85,50,36,42,213
2836,2018,1,20,1,12,7,40
2836,2018,2,19,1,22,5,47
2837,2018,1,70,18,81,15,184
2837,2018,2,70,18,81,15,184
2838,2018,1,16,26,58,6,106
2838,2018,2,20,18,56,7,101
2840,2018,1,40,17,22,21,100
2840,2018,2,38,19,24,21,102
2841,2018,1,113,51,228,1,393
2841,2018,2,116,53,190,36,395
2842,2018,1,11,6,43,13,73
2842,2018,2,11,6,43,13,73
2847,2018,1,81,25,72,35,213
2847,2018,2,81,25,72,35,213
2848,2018,1,46,33,51,34,164
2848,2018,2,18,29,46,28,121
2849,2018,1,30,26,41,27,124
2849,2018,2,42,28,38,28,136
2850,2018,1,50,21,123,16,210
2850,2018,2,58,0,85,11,154
2901,2018,1,21,30,19,4,74
2901,2018,2,21,35,11,4,71
2903,2018,1,3,2,47,7,59
2904,2018,1,26,57,61,4,148
2904,2018,2,24,57,62,4,147
2905,2018,1,20,10,12,10,52
2905,2018,2,20,10,12,10,52
2906,2018,1,6,22,42,13,83
2906,2018,2,6,22,42,13,83
3102,2018,1,14,6,19,2,41
3102,2018,2,14,6,19,2,41
3103,2018,1,1,2,3,1,7
3103,2018,2,1,2,3,1,7
3104,2018,2,14,4,9,6,33
3107,2018,1,40,4,10,12,66
3107,2018,2,58,12,26,11,107
3115,2018,1,6,5,5,3,19
3115,2018,2,6,5,5,3,19
3117,2018,1,6,4,26,6,42
3117,2018,2,6,4,26,6,42
3201,2018,1,24,4,50,19,97
3201,2018,2,24,4,50,19,97
3204,2018,1,41,3,29,15,88
3204,2018,2,41,3,29,15,88
3301,2018,1,52,47,16,44,159
3301,2018,2,52,47,16,44,159
3302,2018,1,54,15,76,54,199
3302,2018,2,56,15,80,54,205
3303,2018,1,11,5,14,15,45
3303,2018,2,11,5,14,15,45
3702,2018,1,4,10,0,13,27
3702,2018,2,1,10,0,15,26
3703,2018,1,6,26,20,12,64
3703,2018,2,5,23,22,10,60
3705,2018,1,110,0,86,27,223
3705,2018,2,103,0,78,22,203
3706,2018,1,10,42,24,2,78
3706,2018,2,10,38,25,2,75
3710,2018,1,41,5,21,16,83
3710,2018,2,41,5,21,16,83
3712,2018,1,12,23,27,44,106
3712,2018,2,12,23,27,44,106
3713,2018,1,21,36,36,8,101
3713,2018,2,22,49,39,9,119
3715,2018,1,12,19,15,12,58
3715,2018,2,16,17,11,11,55
3718,2018,1,12,26,26,7,71
3718,2018,2,12,26,26,7,71
3720,2018,1,15,171,47,15,248
3720,2018,2,15,164,47,15,241
3725,2018,1,1,2,15,5,23
3725,2018,2,1,1,47,7,56
3801,2018,1,8,7,10,7,32
3801,2018,2,10,7,9,7,33
3803,2018,1,10,9,9,12,40
3803,2018,2,10,9,9,12,40
3807,2018,1,1,5,27,7,40
3807,2018,2,0,4,26,6,36
3809,2018,1,2,2,9,3,16
3809,2018,2,2,2,9,3,16
3810,2018,1,15,0,11,2,28
3810,2018,2,15,0,11,2,28
3812,2018,1,31,6,8,4,49
3812,2018,2,31,6,8,4,49
3817,2018,1,13,21,46,17,97
3817,2018,2,13,21,46,21,101
3822,2018,1,3,0,3,11,17
3822,2018,2,3,0,5,11,19
3826,2018,1,11,16,18,7,52
3826,2018,2,11,16,18,7,52
3831,2018,1,87,64,69,46,266
3831,2018,2,86,62,66,43,257
4101,2018,1,48,23,17,2,90
4101,2018,2,56,32,22,2,112
4107,2018,1,5,5,8,7,25
4107,2018,2,5,5,8,7,25
4108,2018,1,24,28,35,11,98
4108,2018,2,24,28,35,11,98
4701,2018,1,24,16,14,10,64
4701,2018,2,24,15,12,9,60
4705,2018,1,2,3,25,3,33
4709,2018,1,15,22,51,9,97
4721,2018,1,27,2,12,11,52
